Designator,Mid X,Mid Y,Rotation,Layer
C1,155.05,-60.9,180.0,bottom
C10,21.08,-105.25,270.0,bottom
C11,49.5,-99.4,90.0,bottom
C12,58.29,-104.03,180.0,bottom
C13,46.25,-96.5,180.0,bottom
C14,64.5,-94.5,270.0,bottom
C15,49.5,-102.85,270.0,bottom
C16,64.9,-101.55,270.0,bottom
C17,61.65,-95.6,180.0,bottom
C18,64.92,-98.119683,90.0,bottom
C19,32.4,-97.0,270.0,bottom
C2,154.95,-56.6,0.0,bottom
C20,48.06,-92.85,180.0,bottom
C21,54.0,-83.8,270.0,bottom
C22,54.4,-90.7,270.0,bottom
C23,51.125,-84.35,180.0,bottom
C24,54.4,-87.2,90.0,bottom
C25,21.08,-116.29,270.0,bottom
C26,61.755,-92.81,180.0,bottom
C27,24.65,-123.6,0.0,bottom
C28,43.703846,-123.6,0.0,bottom
C29,62.757692,-123.6,0.0,bottom
C3,157.9,-61.75,270.0,bottom
C30,81.811538,-123.6,0.0,bottom
C31,100.865385,-123.6,0.0,bottom
C32,119.919231,-123.6,0.0,bottom
C33,138.973077,-123.6,0.0,bottom
C34,34.05,-104.6,0.0,bottom
C35,53.25,-104.7,0.0,bottom
C36,91.35,-104.7,0.0,bottom
C37,110.45,-104.7,0.0,bottom
C38,129.25,-104.7,0.0,bottom
C39,158.026923,-123.6,0.0,bottom
C4,154.95,-58.72,0.0,bottom
C40,177.080769,-123.6,0.0,bottom
C41,196.134615,-123.6,0.0,bottom
C42,215.188462,-123.6,0.0,bottom
C43,234.242308,-123.6,0.0,bottom
C44,253.296154,-123.6,0.0,bottom
C45,272.35,-123.6,0.0,bottom
C46,167.45,-104.6,0.0,bottom
C47,186.65,-104.7,0.0,bottom
C48,224.65,-104.8,0.0,bottom
C49,243.75,-104.7,0.0,bottom
C5,144.177618,-95.72,90.0,bottom
C50,262.55,-104.8,0.0,bottom
C51,158.05,-80.8,0.0,bottom
C52,177.066667,-80.8,0.0,bottom
C53,196.083333,-80.8,0.0,bottom
C54,215.1,-80.8,0.0,bottom
C55,234.116667,-80.8,0.0,bottom
C56,253.133333,-80.8,0.0,bottom
C57,272.15,-80.8,0.0,bottom
C58,167.55,-61.7,0.0,bottom
C59,186.55,-61.8,0.0,bottom
C6,144.177618,-92.22,270.0,bottom
C60,224.65,-61.7,0.0,bottom
C61,243.55,-61.6,0.0,bottom
C62,262.85,-61.7,0.0,bottom
C63,63.8625,-104.2875,0.0,bottom
C64,196.95,-59.9,0.0,bottom
C65,64.3,-111.95,90.0,bottom
C66,197.1,-69.15,90.0,bottom
C67,197.65,-102.425,0.0,bottom
C68,197.6,-111.45,90.0,bottom
C69,35.15,-78.19,90.0,bottom
C7,49.0,-96.0,270.0,bottom
C70,47.884286,-78.19,90.0,bottom
C71,60.618571,-78.19,90.0,bottom
C72,73.352857,-78.19,90.0,bottom
C73,86.087143,-78.19,90.0,bottom
C74,98.821429,-78.19,90.0,bottom
C75,111.555714,-78.19,90.0,bottom
C76,124.29,-78.19,90.0,bottom
C77,67.745,-83.835,270.0,bottom
C78,68.045,-90.91,270.0,bottom
C79,64.845,-84.26,180.0,bottom
C8,43.16,-104.98,180.0,bottom
C80,68.045,-87.31,90.0,bottom
C81,149.5,-87.25,270.0,bottom
C82,143.25,-88.0,0.0,bottom
C83,149.5,-83.85,90.0,bottom
C9,37.4,-85.9,270.0,bottom
D1,275.0,-71.6,180.0,bottom
D2,39.76,-79.23,180.0,top
D3,52.474286,-79.23,180.0,top
D4,65.188571,-79.23,180.0,top
D5,77.902857,-79.23,180.0,top
D6,90.617143,-79.23,180.0,top
D7,103.331429,-79.23,180.0,top
D8,116.045714,-79.23,180.0,top
D9,128.76,-79.23,180.0,top
J1,277.925,-64.32,270.0,bottom
J2,21.3,-95.3825,180.0,bottom
J3,39.58,-99.8,0.0,bottom
J4,54.7,-98.03,0.0,bottom
J5,44.5,-87.675,0.0,bottom
J6,58.245,-87.73,0.0,bottom
J8,29.97,-73.83,90.0,bottom
J9,20.53,-73.87,90.0,bottom
R1,155.0,-62.9,0.0,bottom
R10,154.8125,-67.0,180.0,bottom
R11,78.1,-115.7125,90.0,bottom
R12,210.7,-72.6125,90.0,bottom
R13,211.4,-115.2125,90.0,bottom
R14,44.35,-80.3025,270.0,bottom
R15,57.067143,-80.3025,270.0,bottom
R16,69.784286,-80.3025,270.0,bottom
R17,82.501429,-80.3025,270.0,bottom
R18,95.218571,-80.3025,270.0,bottom
R19,107.935714,-80.3025,270.0,bottom
R2,122.0125,-64.6,0.0,bottom
R20,120.652857,-80.3025,270.0,bottom
R21,133.37,-80.3025,270.0,bottom
R22,48.4,-83.8375,270.0,bottom
R23,135.3,-80.3125,270.0,bottom
R24,62.145,-83.8725,270.0,bottom
R25,123.5,-61.7875,270.0,bottom
R26,135.8,-87.3875,90.0,bottom
R27,135.8,-83.8875,270.0,bottom
R3,155.4125,-71.55,180.0,bottom
R4,155.4125,-73.6,0.0,bottom
R5,272.1,-62.2875,90.0,bottom
R6,272.1,-66.7875,90.0,bottom
R7,43.5,-95.9875,270.0,bottom
R8,154.9125,-65.0,180.0,bottom
R9,58.9,-95.0875,270.0,bottom
SW1,111.4,-65.0,0.0,top
SW2,45.5,-65.0,0.0,top
SW3,23.9,-60.7,0.0,bottom
SW4,23.8,-79.8,0.0,bottom
SW5,68.25,-65.0,0.0,top
SW6,91.0,-65.0,0.0,top
U1,138.55,-61.69,0.0,bottom
U10,81.761538,-126.4,180.0,bottom
U11,100.815385,-126.4,180.0,bottom
U12,119.869231,-126.4,180.0,bottom
U13,138.923077,-126.4,180.0,bottom
U14,34.0,-107.5,180.0,bottom
U15,53.2625,-107.45,180.0,bottom
U16,91.4,-107.5,180.0,bottom
U17,110.4,-107.5,180.0,bottom
U18,129.2375,-107.5,180.0,bottom
U19,157.976923,-126.4,180.0,bottom
U2,149.63,-93.9,180.0,bottom
U20,177.030769,-126.4,180.0,bottom
U21,196.084615,-126.4,180.0,bottom
U22,215.138462,-126.4,180.0,bottom
U23,234.192308,-126.4,180.0,bottom
U24,253.246154,-126.4,180.0,bottom
U25,272.3,-126.4,180.0,bottom
U26,167.4,-107.5,180.0,bottom
U27,186.6,-107.5,180.0,bottom
U28,224.6375,-107.5,180.0,bottom
U29,243.7625,-107.5,180.0,bottom
U3,45.4,-100.9,270.0,bottom
U30,262.6375,-107.5,180.0,bottom
U31,158.0,-83.5,180.0,bottom
U32,177.039583,-83.5,180.0,bottom
U33,196.079167,-83.5,180.0,bottom
U34,215.11875,-83.5,180.0,bottom
U35,234.158333,-83.5,180.0,bottom
U36,253.197917,-83.5,180.0,bottom
U37,272.2375,-83.5,180.0,bottom
U38,167.5,-64.5,180.0,bottom
U39,186.5375,-64.5,180.0,bottom
U4,60.8,-99.9,270.0,bottom
U40,224.6,-64.4,180.0,bottom
U41,243.6,-64.4,180.0,bottom
U42,262.8,-64.5,180.0,bottom
U43,64.13,-107.44,0.0,bottom
U44,196.5625,-63.2375,180.0,bottom
U45,73.6,-107.9,180.0,bottom
U46,206.2,-64.9,180.0,bottom
U47,197.2625,-105.7625,180.0,bottom
U48,206.9,-107.4,180.0,bottom
U49,142.7,-81.8,180.0,bottom
U5,50.2,-88.7,270.0,bottom
U6,63.875,-88.725,270.0,bottom
U7,24.6,-126.4,180.0,bottom
U8,43.653846,-126.4,180.0,bottom
U9,62.707692,-126.4,180.0,bottom
