Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C10, C19, C25, C9",C_Radial_D10.0mm_H12.5mm_P5.00mm,4,150µF,
"C11, C16, C22, C78",0805,4,2.2µF,
"C12, C14, C20, C21, C26, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C8",0805,22,100nF,
"C13, C17, C23, C79",0805,4,22nF,
"C15, C18, C24, C80, C81",0805,5,4.7µF,
C2,0805,1,10μF,
"C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62",0805,36,0.01µF,
"C3, C4, C82, C83",0805,4,0.1μF,
C5,0805,1,0.47μF,
C6,0805,1,47μF,
D1,D_SMA,1,SS14,
"D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,8,WS2812B,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105,
J2,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,1,LRS-350-24,
"J3, J4, J5, J6",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04_Pin,
J8,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J9,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
"R1, R11, R12, R13, R2, R26",0805,6,10kΩ,
"R10, R23, R25, R8",0805,4,1kΩ,
"R14, R15, R16, R17, R18, R19, R20, R21",0805,8,220Ω,
"R22, R24, R7, R9",0805,4,20kΩ,
R27,0805,1,100kΩ,
"R3, R4",0805,2,0Ω,
"R5, R6",0805,2,5.1kΩ,
SW1,SW_PUSH_6mm,1,SW_SPST,
"SW2, SW5, SW6",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,3,RotaryEncoder_Switch,
"SW3, SW4",TH_L10.9-W5.9-CPG151101S11,2,SW_Push_45deg,
"TP1, TP2",MountingHole_3.2mm_M3_Pad,2,TestPoint,
U1,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U7, U8, U9",SOT-23,36,DRV5055A3xDBZxQ1,
U2,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,LM3940IMPX-3.3/NOPB,C544820
"U3, U4, U5, U6",VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,4,TMC2209-LA,
"U43, U44, U47",DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,3,MCP6002-xMC,
"U45, U46, U48",SOIC-24W_7.5x15.4mm_P1.27mm,3,CD74HC4067M,
U49,PW8,1,TPS2115APW,
